File,Type,Size(Bytes),LastModified,Source
resonance-gate/.git/hooks/pre-applypatch.sample,a /data/data/com.termux/files/usr/bin/sh script,455,2025-11-30 13:23:28.022512534 -0500,proot_home
resonance-gate/.git/hooks/prepare-commit-msg.sample,a /data/data/com.termux/files/usr/bin/sh script,1604,2025-11-30 13:23:28.022512534 -0500,proot_home
resonance-gate/.git/hooks/sendemail-validate.sample,a /data/data/com.termux/files/usr/bin/sh script,2339,2025-11-30 13:23:28.022512534 -0500,proot_home
resonance-gate/.git/hooks/applypatch-msg.sample,a /data/data/com.termux/files/usr/bin/sh script,509,2025-11-30 13:23:28.022512534 -0500,proot_home
resonance-gate/.git/hooks/commit-msg.sample,a /data/data/com.termux/files/usr/bin/sh script,927,2025-11-30 13:23:28.022512534 -0500,proot_home
resonance-gate/.git/hooks/fsmonitor-watchman.sample,Perl script text executable,4753,2025-11-30 13:23:28.022512534 -0500,proot_home
resonance-gate/.git/hooks/pre-commit.sample,a /data/data/com.termux/files/usr/bin/sh script,1680,2025-11-30 13:23:28.022512534 -0500,proot_home
resonance-gate/.git/hooks/post-update.sample,a /data/data/com.termux/files/usr/bin/sh script,220,2025-11-30 13:23:28.022512534 -0500,proot_home
resonance-gate/.git/hooks/pre-merge-commit.sample,a /data/data/com.termux/files/usr/bin/sh script,447,2025-11-30 13:23:28.022512534 -0500,proot_home
resonance-gate/.git/hooks/pre-push.sample,a /data/data/com.termux/files/usr/bin/sh script,1405,2025-11-30 13:23:28.022512534 -0500,proot_home
resonance-gate/.git/hooks/pre-receive.sample,a /data/data/com.termux/files/usr/bin/sh script,575,2025-11-30 13:23:28.022512534 -0500,proot_home
resonance-gate/.git/hooks/push-to-checkout.sample,a /data/data/com.termux/files/usr/bin/sh script,2814,2025-11-30 13:23:28.022512534 -0500,proot_home
resonance-gate/.git/hooks/update.sample,a /data/data/com.termux/files/usr/bin/sh script,3681,2025-11-30 13:23:28.026512534 -0500,proot_home
resonance-gate/.git/info/exclude,ASCII text,240,2025-11-30 13:23:28.026512534 -0500,proot_home
resonance-gate/.git/objects/pack/pack-6674854a3ed7132b90d754359b1cbef1567df89c.pack,Git pack,986,2025-11-30 13:23:28.850512534 -0500,proot_home
resonance-gate/.git/objects/pack/pack-6674854a3ed7132b90d754359b1cbef1567df89c.rev,data,64,2025-11-30 13:23:28.894512534 -0500,proot_home
resonance-gate/.git/objects/pack/pack-6674854a3ed7132b90d754359b1cbef1567df89c.idx,Git pack index,1156,2025-11-30 13:23:28.850512534 -0500,proot_home
resonance-gate/.git/objects/1a/da259bd2fd09f9b6ce6bf04149d426896bd148,zlib compressed data,896,2025-11-30 13:23:29.026512534 -0500,proot_home
resonance-gate/.git/objects/35/0964d7ab29f3645ac5c6d87cfcc1939414ef5a,zlib compressed data,88,2025-11-30 13:23:29.058512534 -0500,proot_home
resonance-gate/.git/objects/d1/23f4e68a5084d57aba01f49d5bcd737050591f,zlib compressed data,192,2025-11-30 13:25:08.634512540 -0500,proot_home
resonance-gate/.git/config,ASCII text,272,2025-11-30 13:23:28.962512534 -0500,proot_home
resonance-gate/.git/HEAD,ASCII text,21,2025-11-30 13:23:28.954512534 -0500,proot_home
resonance-gate/.git/refs/heads/main,ASCII text,41,2025-11-30 13:25:08.638512540 -0500,proot_home
resonance-gate/.git/refs/remotes/origin/HEAD,ASCII text,30,2025-11-30 13:23:28.930512534 -0500,proot_home
